Word,Meaning,Meaning Only
Phony,Glib; mulct; deceive; cozen; delude;,Glib; mulct; deceive; cozen; delude;
Pith,Cardinal; core; essence,Cardinal; core; essence
Placebo,An innocuous(harmless) or inert medication,An innocuous(harmless) or inert medication
Plagiarism,Copied from someone else,Copied from someone else
Platitude,banal; commonplace; cliche; shallow or overused statement,banal; commonplace; cliche; shallow or overused statement
Plausibility,apparent validity,apparent validity
Plausible,Believable;,Believable;
Plebian,of common people,of common people
Plethora,Excess,Excess
Plucky,Brave; spirited,Brave; spirited
Plutocracy,Society ruled by rich,Society ruled by rich
Polarized,Divided into sharply opposing groups; conflicting situation,Divided into sharply opposing groups; conflicting situation
Polarized,conflicting or contrasting situation,conflicting or contrasting situation
Polemic,Controversial argument; attack specific idea,Controversial argument; attack specific idea
Politic,diplomatic; practical;,diplomatic; practical;
Polyglot,Speaking several languages,Speaking several languages
Ponder,Contemplate; think deeply,Contemplate; think deeply
Ponderous,Walk heavily; lumbering;,Walk heavily; lumbering;
Posit,Suggest; put forward,Suggest; put forward
Potentate,Dictator; ruler,Dictator; ruler
Prattle,Chat idly; babble,Chat idly; babble
Precarious,Unstable,Unstable
Precipitate,Hasten; fling; plunge; fell down,Hasten; fling; plunge; fell down
Precis,Concise; summary,Concise; summary
Predilection,Favorability,Favorability
Predisposed,Biased; tendentious; proclivity,Biased; tendentious; proclivity
Prefatory,Preamble; introduction; preface,Preamble; introduction; preface
Preposterous,Absurd,Absurd
Prescient,Foreseeing the future; foresight,Foreseeing the future; foresight
Presumptive,Based on assumption,Based on assumption
Presumptuous,Arrogant,Arrogant
Presumptuous,Assumption; bold; arrogant,Assumption; bold; arrogant
Preternatural,Supernatural,Supernatural
Prevaricate,Parry; equivocate,Parry; equivocate
Primacy,The state of being foremost importance,The state of being foremost importance
Probity,Honesty or integrity,Honesty or integrity
Proclivity,Inclination; natural tendency,Inclination; natural tendency
Prodigious,"Colossal; stupendous; So great in size, force or extent as to elicit awe. Ex:Prodigious enemy","Colossal; stupendous; So great in size, force or extent as to elicit awe. "
Prodigious,colossal; exuberant; profuse; abundant; luxurious; riotous,colossal; exuberant; profuse; abundant; luxurious; riotous
Profligate,Wasteful; completely and shamelessly immoral(wanton; sordid),Wasteful; completely and shamelessly immoral(wanton; sordid)
Profound,Deep insight; intense; pervasive,Deep insight; intense; pervasive
Prolix,Prolonged conversation,Prolonged conversation
Prolix,Tautological; excessively prolonged; verbose,Tautological; excessively prolonged; verbose
Pronounced,Distinct; strong,Distinct; strong
Propagate,Spread; disseminate,Spread; disseminate
Propensity,Like,Like
Prophetic,Ominous; presage;,Ominous; presage;
Propitiate,Appease; sooth,Appease; sooth
Propitious,Favorable; auspicious,Favorable; auspicious
Proselytize,"Convert to another faith or religion. Ex:\""Christian efforts to proselytize Jews began to be made on nationalistic lines\""",Convert to another faith or religion. 
Protruding,jutting; Extending out,jutting; Extending out
Providential,Lucky; charm; or relating to divine care,Lucky; charm; or relating to divine care
Prudent,Wise; savage; judicious,Wise; savage; judicious
Psoriasis,skin disease,skin disease
Puddle,Mix of water,Mix of water
Puerile,Juvenile; childish,Juvenile; childish
Pugilism,Boxing,Boxing
Pugnacious,Bellicose; belligerent; truculent; jingoist; war like,Bellicose; belligerent; truculent; jingoist; war like
Puissance,Power; might,Power; might
Pulchritude,Beauty; comely; piquant,Beauty; comely; piquant
Pungent,Sharp taste or smell; bitter; stimulating; biting,Sharp taste or smell; bitter; stimulating; biting
Pusillanimous,Cowardice; timid,Cowardice; timid
Putative,Acknowledged; purported,Acknowledged; purported
Querulous,Complaining;,Complaining;
Quiescent,Calm,Calm
Quixotic,Ideally optimistic,Ideally optimistic
Quotidian,Ordinary; found in every day course of events,Ordinary; found in every day course of events
Quotidian,Every day; mundane; cliche,Every day; mundane; cliche
Raccoon,"Omnivorous, nocturnal mammal","Omnivorous, nocturnal mammal"
Raconteur,Narrator,Narrator
Ramp,Any inclined surface,Any inclined surface
Ranks,people; among groups of people,people; among groups of people
Rarefied,Lofty; very high up or elevated; exclusive Ex:rarefied ranks of attendees,Lofty; very high up or elevated; exclusive 
Reactant,something that reacts,something that reacts
Reap,harvest,harvest
Recalcitrant,Not obedient; rebel,Not obedient; rebel
Recant,Publicly retract,Publicly retract
Recapitulate,Summarize,Summarize
Recondite,Abstruse,Abstruse
Recrudescent,Revival; reappear again,Revival; reappear again
Redound,To have good or bad effect as a result of person's efforts or actions. Ex:Studying vocabulary little every day will redound to success,To have good or bad effect as a result of person's efforts or actions. 
Redress,Provide relief,Provide relief
Refractory,Stubborn,Stubborn
Refulgent,Shine,Shine
Rejoinder,riposte; Witty response or reply;,riposte; Witty response or reply;
Rend,Tear one's clothe,Tear one's clothe
Render,translate; declare formally; submit or surrender,translate; declare formally; submit or surrender
Repast,meals,meals
Repertorial,Number of theatrical performances,Number of theatrical performances
Replete,Abundant; profuse,Abundant; profuse
Repose,Tranquility,Tranquility
Reprobate,Unscrupulous person; morally not restricted,Unscrupulous person; morally not restricted
Requite,Reciprocate; repay; revengeful,Reciprocate; repay; revengeful
Resurgent,Recrudescent; revival,Recrudescent; revival
Revamp,Renovate; redo; revise,Renovate; redo; revise
Revile,Rail; vituperate; spread negative information,Rail; vituperate; spread negative information
Revile,rail; vilify; Vituperate; spread negative information about,rail; vilify; Vituperate; spread negative information about
Rhetoric,Voluble; fluent,Voluble; fluent
Rhetoric,1)Pleasant language; Using language effectively to please or persuade 2)confused language,1)Pleasant language; Using language effectively to please or persuade 2)confused language
Ribald,Obscene,Obscene
Ridden,Burden,Burden
Rife,replete; abundant,replete; abundant
Rift,A gap; fissure(rock); fight,A gap; fissure(rock); fight
Rococo,Ostentatious decoration,Ostentatious decoration
Rue,Regret; remorse,Regret; remorse
Ruminate,Brood; think,Brood; think
Rummage,Thorough search. Ex:Please do rummage for rum,Thorough search. 
Sacrosanct,Inviolable; Reverent,Inviolable; Reverent
Sardonic,cynically derisive,cynically derisive
Savage,Pugnacious; bellicose; belligerent; truculent; war like; jingoist,Pugnacious; bellicose; belligerent; truculent; war like; jingoist
Savant,Scholar; learned person,Scholar; learned person
Savor,Appreciate; enjoy,Appreciate; enjoy
Scant,scarcity,scarcity
Scant,Limit in quantity,Limit in quantity
Scathing,Vituperative; harsh criticism; coruscating,Vituperative; harsh criticism; coruscating
Scathing,injurious; bitterly harsh(remark),injurious; bitterly harsh(remark)
Scintilla,Tiny part,Tiny part
Scram,Leave immediately,Leave immediately
Scurrilous,expressing reproach,expressing reproach
Scurvy,Mean; Contemptible,Mean; Contemptible
Searchingly,In a searching or protruding manner,In a searching or protruding manner
Secrete,Produce a substance from cell,Produce a substance from cell
Semantic,Relating to different meanings of words or other symbols,Relating to different meanings of words or other symbols
Sentient,Conscious,Conscious
Seraphic,Angel,Angel
Shard,sharp fragment of Pottery,sharp fragment of Pottery
Sift,Check and sort carefully,Check and sort carefully
Sinecure,Paying for less or no work,Paying for less or no work
Skittish,Restive; nervousness; shy; fickle; uncertain,Restive; nervousness; shy; fickle; uncertain
Slack,Negligent; lazy; loose,Negligent; lazy; loose
Slake,Quench(Satisfy); slack(lazy); not active,Quench(Satisfy); slack(lazy); not active
Slew,A large number of quantity; turn sharply,A large number of quantity; turn sharply
Sobriquet,A nick name,A nick name
Solecism,Nonstandard use of grammar or words; esp in etiquette,Nonstandard use of grammar or words; esp in etiquette
Solicitous,request; conscious or anxious; taking care,request; conscious or anxious; taking care
Solidarity,Fellowship in interests or responsibilities,Fellowship in interests or responsibilities
Somatic,Related to body,Related to body
Sound,Fathom; fathomless; wise; measure the depth of,Fathom; fathomless; wise; measure the depth of
Spartan,Austere; frugal,Austere; frugal
Spate,deluge; inundate; sudden rush of,deluge; inundate; sudden rush of
Spearhead,vanguard; leader,vanguard; leader
Squabble,Quibble; spat; bickering; To argue over petty things. Ex:Don't squabble over a silly girl,Quibble; spat; bickering; To argue over petty things. 
Squalid,Wretch; filthy; sordid conditions; bad,Wretch; filthy; sordid conditions; bad
Squelch,Crush(quench); suppress; walk in mud land,Crush(quench); suppress; walk in mud land
Standing,rank; exist infinitely,rank; exist infinitely
Stark,complete; plain,complete; plain
Stasis,Equilibrium,Equilibrium
Status,quo Existing condition,quo Existing condition
Steeped,Engulfed; engrossed; immersed,Engulfed; engrossed; immersed
Stentorian,Loud and powerful voice,Loud and powerful voice
Stigma,Social disgrace or mark on face,Social disgrace or mark on face
Sting,pain,pain
Stingy,Mean;,Mean;
Stint,Period of time; less amount of work; less amount of food,Period of time; less amount of work; less amount of food
Stipulate,Specify,Specify
Stolid,Stoic; unemotional,Stoic; unemotional
Stomp,Stamp; to bring down forcibly; to walk heavily. Ex: He was stomped out of class,Stamp; to bring down forcibly; to walk heavily. 
Stratagem,Machination; intrigue; Army maneuver to deceive or surprise; scheme contrived to deceive,Machination; intrigue; Army maneuver to deceive or surprise; scheme contrived to deceive
Stratum,Layer(strata),Layer(strata)
Strut,Supporting structure,Supporting structure
Stymie,stymy Block; hinder,stymy Block; hinder
Subjective,Exist only in mind or relating to one's own thoughts; not in reality,Exist only in mind or relating to one's own thoughts; not in reality
Sublime,Awe,Awe
Subliminal,Imperceptible,Imperceptible
Subpoena,Court order,Court order
Succinct,brevity; gist; Adumbrate;,brevity; gist; Adumbrate;
Sully,make dirty,make dirty
Supplant,Supersede; Replace especially with sneaky tactics,Supersede; Replace especially with sneaky tactics
Supposition,Assumption; hypothesis,Assumption; hypothesis
Surfeit,Excessive,Excessive
Surly,Rude; ugly; hostile; churlish; peevish;,Rude; ugly; hostile; churlish; peevish;
Surmise,Extrapolate; infer; hypothesis; conjecture,Extrapolate; infer; hypothesis; conjecture
Surrogate,Substitute,Substitute
Swindle,deceive,deceive
Sybarite,Excessively involved in pleasures,Excessively involved in pleasures
Symbiosis,Inter dependent relationship between two groups or people,Inter dependent relationship between two groups or people
Synoptic,Synopsis,Synopsis
Syntax,Grammar rules,Grammar rules
Tacit,Implied,Implied
Taciturn,reticent; reserved,reticent; reserved
Tawdry,Gaudy; cheap,Gaudy; cheap
Temerity,Courageous,Courageous
Tendentious,Biased; strong feelings,Biased; strong feelings
Tenuous,Long and thin,Long and thin
Terrestrial,Earth,Earth
Terse,Sententious; pithy(often in rude manner),Sententious; pithy(often in rude manner)
Timorous,Craven; coward; fearful,Craven; coward; fearful
Tiptoed,walk on toes,walk on toes
Titan,Colossus; heavy weight; giant; behemoth; a person of great importance,Colossus; heavy weight; giant; behemoth; a person of great importance
Toady,Fawning; servile; inveigle,Fawning; servile; inveigle
Toddler,young child,young child
Token,Symbol; representing entire group; only few people,Symbol; representing entire group; only few people
Tome,Scholar book,Scholar book
Topping,A flavor addition,A flavor addition
Torpor,Torpid; lethargic,Torpid; lethargic
Torrid,Passionate; very hot;,Passionate; very hot;
Tortuous,Twisting; winding; not straight forward,Twisting; winding; not straight forward
Transgression,Violating law,Violating law
Travesty,Lampoon; Burlesque,Lampoon; Burlesque
Treacherous,Deceptive; betray; Quisling; mercenary,Deceptive; betray; Quisling; mercenary
Trenchant,Caustic; sharp; essential,Caustic; sharp; essential
Truculent,Bellicose; belligerent; Savage; fierce; war like; cruel; jingoist,Bellicose; belligerent; Savage; fierce; war like; cruel; jingoist
Tumultuous,Riotous; violently agitate; noisy; chaotic,Riotous; violently agitate; noisy; chaotic
Turbid,Mucky,Mucky
Turgid,Pompous,Pompous
Turgid,Pompous;,Pompous;
Turpitude,Opprobrium; disgrace; a corrupt or disgrace activity;,Opprobrium; disgrace; a corrupt or disgrace activity;
Tyro,Beginner; Novice; Juvenile; fledgling,Beginner; Novice; Juvenile; fledgling
Umbrage,Annoy; irritate,Annoy; irritate
Unconscionable,with out conscience; Morally unjustifiable,with out conscience; Morally unjustifiable
Unseemly,Improper,Improper
Unsparing,Generous; lavish; ruthless(unsparing criticism),Generous; lavish; ruthless(unsparing criticism)
Untempered,Not slowed down,Not slowed down
Upbraid,Irritate; reproach; captious; find faults,Irritate; reproach; captious; find faults
Usury,lending money at high rates of interest,lending money at high rates of interest
Vacillate,waver in one's mind,waver in one's mind
Vandalize,Destroy wantonly;,Destroy wantonly;
Vanguard,Leaders in any activity; soldiers in front side,Leaders in any activity; soldiers in front side
Variegated,Motley; different colors,Motley; different colors
Verdant,Green; Juvenile;,Green; Juvenile;
Verisimilar,Truth; probably,Truth; probably
Vernal,Spring,Spring
Vestige,Sign of something that existed,Sign of something that existed
Vex,Annoy; bother,Annoy; bother
Vicissitude,Change of fortunes,Change of fortunes
Vim,Enthusiastic,Enthusiastic
Virulent,Poisonous; extremely infectious,Poisonous; extremely infectious
Viscid or Viscous,Gluey; Sticky,Gluey; Sticky
Vitriol,Vituperative; invective,Vituperative; invective
Vociferous,Vehement outcry; strident; clamorous; Strident;,Vehement outcry; strident; clamorous; Strident;
Voluble,Fluent in speech,Fluent in speech
Wan,Pale; dull,Pale; dull
Wanton,Destroy without any reason; Promiscous; sordid(unrestrained in sexual behavior),Destroy without any reason; Promiscous; sordid(unrestrained in sexual behavior)
Welter,Pile; wallow(roll);,Pile; wallow(roll);
Whet,Stimulate; Make keen or more accurate. Ex:Whet my appetite,Stimulate; Make keen or more accurate. 
Whitewash,Deception; covering up. Ex:Govt whitewashed all details of scam,Deception; covering up. 
Wimpy,Weak and ineffectual,Weak and ineffectual
Winnow,To analyze carefully,To analyze carefully
Winsome,Charming,Charming
Wizened,Withered; shriveled; shrink due to illness,Withered; shriveled; shrink due to illness
Xenophobia,Fear of foreign places or things,Fear of foreign places or things
Yelp,Bark in a high pitched sound,Bark in a high pitched sound
Yoke,A burden or something that oppresses; A frame for attaching animals,A burden or something that oppresses; A frame for attaching animals
Zeitgeist,Based on particular time,Based on particular time
